iter	RMSE
0	0.8008800563
1	0.744835496
2	0.694577013
3	0.6486045732
4	0.6073371514
5	0.5728967348
6	0.5406588627
7	0.5126372337
8	0.4872551522
9	0.4656300066
10	0.4468998839
11	0.4309940109
12	0.4164054938
13	0.403533653
14	0.3917438635
15	0.3813328887
16	0.3726067144
17	0.3650870122
18	0.3585377885
19	0.3524194969
20	0.3471070687
21	0.3426900524
22	0.3387758285
23	0.3352723559
24	0.3319045713
25	0.32901341
26	0.3258080345
27	0.3233757536
28	0.3212015696
29	0.3194721229
30	0.3176511915
31	0.3153092849
32	0.313141708
33	0.3117376148
34	0.3101196156
35	0.3085844552
36	0.3075094323
37	0.3061446214
38	0.3051678592
39	0.3042331045
40	0.3035663225
41	0.3025257981
42	0.3020391498
43	0.3007968798
44	0.2996864342
45	0.2990285001
46	0.2977091161
47	0.2969265937
48	0.2958502631
49	0.2954041653
50	0.2947505423
51	0.2940444312
52	0.2934125206
53	0.2927137809
54	0.2921363926
55	0.2914229165
56	0.2907892441
57	0.2903343732
58	0.2897980813
59	0.2892509384
60	0.288557073
61	0.288094532
62	0.2875113121
63	0.2872579026
64	0.2867524321
65	0.2861711732
66	0.2854695842
67	0.284993028
68	0.2839030711
69	0.2832703331
70	0.2825626946
71	0.2817774216
72	0.2810863495
73	0.2805255215
74	0.2800141667
75	0.2790473355
76	0.2787744687
77	0.2783191244
78	0.2776632228
79	0.2772356648
80	0.276522837
81	0.2759315389
82	0.275117609
83	0.2746702617
84	0.2739810904
85	0.2736219407
86	0.2729265341
87	0.2723560086
88	0.2720511824
89	0.2716270623
90	0.2711404143
91	0.2709096419
92	0.2706190889
93	0.2699608271
94	0.2694768027
95	0.2691720888
96	0.2687067756
97	0.2683641978
98	0.2679754396
99	0.2676345939
100	0.2674523059
101	0.2671046995
102	0.266612098
103	0.2661821306
104	0.2657575642
105	0.2655479664
106	0.2651677513
107	0.2648648019
108	0.2644959552
109	0.2639076591
110	0.2633795229
111	0.26316429
112	0.2628351164
113	0.2624435089
114	0.2622209353
115	0.2620052056
116	0.261830663
117	0.2616423957
118	0.2614293982
119	0.2611081224
120	0.260853831
121	0.2603795527
122	0.2601747675
123	0.2599894712
124	0.2596389929
125	0.2592269377
126	0.2587517462
127	0.2581961982
128	0.2578132295
129	0.2575087552
130	0.257107802
131	0.2567590125
132	0.2564187878
133	0.2557770882
134	0.2554395715
135	0.2550819317
136	0.2549002627
137	0.2543347998
138	0.2540252992
139	0.2535590073
140	0.253158133
141	0.2529162447
142	0.252623604
143	0.2524117238
144	0.2521338899
145	0.2516459554
146	0.2514159374
147	0.250999926
148	0.2506367093
149	0.2504036785
150	0.2501719206
151	0.2497139302
152	0.2492940677
153	0.2486917465
154	0.2479313276
155	0.2477155254
156	0.2474485052
157	0.2471875718
158	0.2464432069
159	0.2460917894
160	0.2456090046
161	0.2453694319
162	0.2448058199
163	0.2446330148
164	0.2444976322
165	0.2442425966
166	0.2438329724
167	0.243533316
168	0.2433389393
169	0.2431713181
170	0.2429467606
171	0.2424926845
172	0.2421415645
173	0.2417558934
174	0.2414832287
175	0.2413192043
176	0.2409320283
177	0.2408076321
178	0.2405637014
179	0.2403509944
180	0.2400017837
181	0.2396072539
182	0.2393227825
183	0.2390927794
184	0.2385876751
185	0.2382725447
186	0.2378427694
187	0.2375356705
188	0.2373515063
189	0.2371500786
190	0.2369438597
191	0.2366516079
192	0.2364243416
193	0.2361803362
194	0.2357994342
195	0.2355937416
196	0.2353224511
197	0.2350815408
198	0.2346547178
199	0.2341853932
